Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
a	DET	0	7	1	0	tornar a iluminação um pouco mais calorosa aqui
iluminação	NOUN	0	7	2	0	tornar a iluminação um pouco mais calorosa aqui
um	DET	0	7	3	0	tornar a iluminação um pouco mais calorosa aqui
pouco	ADV	0	7	4	0	tornar a iluminação um pouco mais calorosa aqui
mais	ADV	0	7	5	0	tornar a iluminação um pouco mais calorosa aqui
calorosa	ADJ	1	7	6	0	tornar a iluminação um pouco mais calorosa aqui
aqui	ADV	0	7	7	0	tornar a iluminação um pouco mais calorosa aqui
6	['VERB', 'DET', 'NOUN', 'DET', 'ADV', 'ADV', 'ADJ', 'ADV']	[0, 0, 0, 0, 0, 0, 1, 0]	7	6	1	tornar a iluminação um pouco mais calorosa aqui
definir	VERB	0	8	0	0	definir a iluminação adequada para leitura
a	DET	0	8	1	0	definir a iluminação adequada para leitura
iluminação	NOUN	0	8	2	0	definir a iluminação adequada para leitura
adequada	ADJ	0	8	3	0	definir a iluminação adequada para leitura
para	ADP	0	8	4	0	definir a iluminação adequada para leitura
leitura	NOUN	0	8	5	0	definir a iluminação adequada para leitura
7	['VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN']	[0, 0, 0, 0, 0, 0]	8	7	1	definir a iluminação adequada para leitura
hora	NOUN	0	9	0	0	hora de cormir
de	ADP	0	9	1	0	hora de cormir
cormir	NOUN	1	9	2	0	hora de cormir
8	['NOUN', 'ADP', 'NOUN']	[0, 0, 1]	9	8	1	hora de cormir
tempo	NOUN	0	10	0	0	tempo de dormir olly
de	SCONJ	0	10	1	0	tempo de dormir olly
dormir	VERB	0	10	2	0	tempo de dormir olly
olly	NOUN	1	10	3	0	tempo de dormir olly
9	['NOUN', 'SCONJ', 'VERB', 'NOUN']	[0, 0, 0, 1]	10	9	1	tempo de dormir olly
desligar	VERB	1	11	0	0	desligar a luz da casa de banho
a	DET	0	11	1	0	desligar a luz da casa de banho
luz	NOUN	0	11	2	0	desligar a luz da casa de banho
da	ADP	0	11	3	0	desligar a luz da casa de banho
casa	NOUN	0	11	4	0	desligar a luz da casa de banho
de	ADP	0	11	5	0	desligar a luz da casa de banho
banho	NOUN	0	11	6	0	desligar a luz da casa de banho
10	['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']	[1, 0, 0, 0, 0, 0, 0]	11	10	1	desligar a luz da casa de banho
alexa	PROPN	1	12	0	0	alexa diminui as luzes no salão
diminui	VERB	0	12	1	0	alexa diminui as luzes no salão
as	DET	0	12	2	0	alexa diminui as luzes no salão
luzes	NOUN	0	12	3	0	alexa diminui as luzes no salão
no	ADP	0	12	4	0	alexa diminui as luzes no salão
salão	NOUN	0	12	5	0	alexa diminui as luzes no salão
11	['PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']	[1, 0, 0, 0, 0, 0]	12	11	1	alexa diminui as luzes no salão
apagar	VERB	1	13	0	0	apagar as luzes no quarto
as	DET	0	13	1	0	apagar as luzes no quarto
luzes	NOUN	0	13	2	0	apagar as luzes no quarto
no	ADP	0	13	3	0	apagar as luzes no quarto
quarto	ADJ	0	13	4	0	apagar as luzes no quarto
12	['VERB', 'DET', 'NOUN', 'ADP', 'ADJ']	[1, 0, 0, 0, 0]	13	12	1	apagar as luzes no quarto
mudar	VERB	0	14	0	0	mudar as luzes para vinte porcento
as	DET	0	14	1	0	mudar as luzes para vinte porcento
luzes	NOUN	0	14	2	0	mudar as luzes para vinte porcento
para	ADP	0	14	3	0	mudar as luzes para vinte porcento
vinte	NUM	0	14	4	0	mudar as luzes para vinte porcento
porcento	NOUN	1	14	5	0	mudar as luzes para vinte porcento
13	['VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN']	[0, 0, 0, 0, 0, 1]	14	13	1	mudar as luzes para vinte porcento
olly	NOUN	1	15	0	0	olly coloca as luzes para vinte por cento
coloca	VERB	0	15	1	0	olly coloca as luzes para vinte por cento
as	DET	0	15	2	0	olly coloca as luzes para vinte por cento
luzes	NOUN	0	15	3	0	olly coloca as luzes para vinte por cento
para	ADP	0	15	4	0	olly coloca as luzes para vinte por cento
vinte	NUM	0	15	5	0	olly coloca as luzes para vinte por cento
por	ADP	0	15	6	0	olly coloca as luzes para vinte por cento
cento	NUM	0	15	7	0	olly coloca as luzes para vinte por cento
14	['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NUM']	[1, 0, 0, 0, 0, 0, 0, 0]	15	14	1	olly coloca as luzes para vinte por cento
alexa	PROPN	1	16	0	0	alexa diminuir as luzes da cozinha
diminuir	VERB	0	16	1	0	alexa diminuir as luzes da cozinha
as	DET	0	16	2	0	alexa diminuir as luzes da cozinha
luzes	NOUN	0	16	3	0	alexa diminuir as luzes da cozinha
da	ADP	0	16	4	0	alexa diminuir as luzes da cozinha
cozinha	NOUN	0	16	5	0	alexa diminuir as luzes da cozinha
15	['PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']	[1, 0, 0, 0, 0, 0]	16	15	1	alexa diminuir as luzes da cozinha
diminui	VERB	0	17	0	0	diminui as luzes na cozinha
as	DET	0	17	1	0	diminui as luzes na cozinha
luzes	NOUN	0	17	2	0	diminui as luzes na cozinha
na	ADP	0	17	3	0	diminui as luzes na cozinha
cozinha	NOUN	0	17	4	0	diminui as luzes na cozinha
16	['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']	[0, 0, 0, 0, 0]	17	16	1	diminui as luzes na cozinha
alexa	PROPN	1	18	0	0	alexa limpar o apartamento
limpar	VERB	1	18	1	0	alexa limpar o apartamento
o	DET	0	18	2	0	alexa limpar o apartamento
apartamento	NOUN	0	18	3	0	alexa limpar o apartamento
17	['PROPN', 'VERB', 'DET', 'NOUN']	[1, 1, 0, 0]	18	17	1	alexa limpar o apartamento
aspirar	VERB	1	19	0	0	aspirar a casa
a	DET	0	19	1	0	aspirar a casa
casa	NOUN	0	19	2	0	aspirar a casa
18	['VERB', 'DET', 'NOUN']	[1, 0, 0]	19	18	1	aspirar a casa
aspirar	VERB	1	20	0	0	aspirar a casa olly
a	DET	0	20	1	0	aspirar a casa olly
casa	NOUN	0	20	2	0	aspirar a casa olly
olly	ADJ	1	20	3	0	aspirar a casa olly
19	['VERB', 'DET', 'NOUN', 'ADJ']	[1, 0, 0, 1]	20	19	1	aspirar a casa olly
aspirar	VERB	1	21	0	0	aspirar as alcatifas
as	DET	0	21	1	0	aspirar as alcatifas
alcatifas	NOUN	1	21	2	0	aspirar as alcatifas
20	['VERB', 'DET', 'NOUN']	[1, 0, 1]	21	20	1	aspirar as alcatifas
verifique	VERB	1	22	0	0	verifique quando o show inicia
quando	ADV	0	22	1	0	verifique quando o show inicia
o	DET	0	22	2	0	verifique quando o show inicia
show	NOUN	0	22	3	0	verifique quando o show inicia
inicia	VERB	0	22	4	0	verifique quando o show inicia
21	['VERB', 'ADV', 'DET', 'NOUN', 'VERB']	[1, 0, 0, 0, 0]	22	21	1	verifique quando o show inicia
quero	VERB	0	23	0	0	quero ouvir eu tenho dois amores do marco paulo novamente
ouvir	VERB	0	23	1	0	quero ouvir eu tenho dois amores do marco paulo novamente
eu	PRON	0	23	2	0	quero ouvir eu tenho dois amores do marco paulo novamente
tenho	VERB	0	23	3	0	quero ouvir eu tenho dois amores do marco paulo novamente
dois	NUM	0	23	4	0	quero ouvir eu tenho dois amores do marco paulo novamente
amores	NOUN	1	23	5	0	quero ouvir eu tenho dois amores do marco paulo novamente
do	ADP	0	23	6	0	quero ouvir eu tenho dois amores do marco paulo novamente
marco	NOUN	0	23	7	0	quero ouvir eu tenho dois amores do marco paulo novamente
paulo	PROPN	1	23	8	0	quero ouvir eu tenho dois amores do marco paulo novamente
novamente	ADV	0	23	9	0	quero ouvir eu tenho dois amores do marco paulo novamente
22	['VERB', 'VERB', 'PRON', 'VERB', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'ADV']	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]	23	22	1	quero ouvir eu tenho dois amores do marco paulo novamente
podes	VERB	1	24	0	0	podes pôr essa música novamente
pôr	VERB	0	24	1	0	podes pôr essa música novamente
essa	DET	0	24	2	0	podes pôr essa música novamente
música	NOUN	0	24	3	0	podes pôr essa música novamente
novamente	ADV	0	24	4	0	podes pôr essa música novamente
23	['VERB', 'VERB', 'DET', 'NOUN', 'ADV']	[1, 0, 0, 0, 0]	24	23	1	podes pôr essa música novamente
verifica	VERB	0	25	0	0	verifica se o meu carro está pronto
se	SCONJ	0	25	1	0	verifica se o meu carro está pronto
o	DET	0	25	2	0	verifica se o meu carro está pronto
meu	DET	0	25	3	0	verifica se o meu carro está pronto
carro	NOUN	0	25	4	0	verifica se o meu carro está pronto
está	AUX	0	25	5	0	verifica se o meu carro está pronto
pronto	ADJ	0	25	6	0	verifica se o meu carro está pronto
24	['VERB', 'SCONJ', 'DET', 'DET', 'NOUN', 'AUX', 'ADJ']	[0, 0, 0, 0, 0, 0, 0]	25	24	1	verifica se o meu carro está pronto
verifica	VERB	0	26	0	0	verifica se o meu portátil está a trabalhar
se	SCONJ	0	26	1	0	verifica se o meu portátil está a trabalhar
o	DET	0	26	2	0	verifica se o meu portátil está a trabalhar
meu	DET	0	26	3	0	verifica se o meu portátil está a trabalhar
portátil	NOUN	1	26	4	0	verifica se o meu portátil está a trabalhar
está	VERB	0	26	5	0	verifica se o meu portátil está a trabalhar
a	SCONJ	0	26	6	0	verifica se o meu portátil está a trabalhar
trabalhar	VERB	0	26	7	0	verifica se o meu portátil está a trabalhar
25	['VERB', 'SCONJ', 'DET', 'DET', 'NOUN', 'VERB', 'SCONJ', 'VERB']	[0, 0, 0, 0, 1, 0, 0, 0]	26	25	1	verifica se o meu portátil está a trabalhar
a	DET	0	27	0	0	a luminosidade do meu ecrã está baixa
luminosidade	NOUN	1	27	1	0	a luminosidade do meu ecrã está baixa
do	ADP	0	27	2	0	a luminosidade do meu ecrã está baixa
meu	DET	0	27	3	0	a luminosidade do meu ecrã está baixa
ecrã	NOUN	1	27	4	0	a luminosidade do meu ecrã está baixa
está	AUX	0	27	5	0	a luminosidade do meu ecrã está baixa
baixa	ADJ	0	27	6	0	a luminosidade do meu ecrã está baixa
26	['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'ADJ']	[0, 1, 0, 0, 1, 0, 0]	27	26	1	a luminosidade do meu ecrã está baixa
preciso	ADJ	0	28	0	0	preciso de ter os serviços localização ligados podes verificar
de	SCONJ	0	28	1	0	preciso de ter os serviços localização ligados podes verificar
ter	VERB	0	28	2	0	preciso de ter os serviços localização ligados podes verificar
os	DET	0	28	3	0	preciso de ter os serviços localização ligados podes verificar
serviços	NOUN	0	28	4	0	preciso de ter os serviços localização ligados podes verificar
localização	NOUN	0	28	5	0	preciso de ter os serviços localização ligados podes verificar
ligados	VERB	0	28	6	0	preciso de ter os serviços localização ligados podes verificar
podes	VERB	1	28	7	0	preciso de ter os serviços localização ligados podes verificar
verificar	VERB	0	28	8	0	preciso de ter os serviços localização ligados podes verificar
27	['ADJ', 'SCONJ', 'VERB', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB']	[0, 0, 0, 0, 0, 0, 0, 1, 0]	28	27	1	preciso de ter os serviços localização ligados podes verificar
cheque	NOUN	1	29	0	0	cheque o desempenho da minha bateria
o	DET	0	29	1	0	cheque o desempenho da minha bateria
desempenho	NOUN	0	29	2	0	cheque o desempenho da minha bateria
da	ADP	0	29	3	0	cheque o desempenho da minha bateria
minha	DET	0	29	4	0	cheque o desempenho da minha bateria
bateria	NOUN	0	29	5	0	cheque o desempenho da minha bateria
28	['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']	[1, 0, 0, 0, 0, 0]	29	28	1	cheque o desempenho da minha bateria
não	ADV	0	30	0	0	não estou cansado na realidade estou feliz
estou	AUX	0	30	1	0	não estou cansado na realidade estou feliz
cansado	ADJ	1	30	2	0	não estou cansado na realidade estou feliz
na	ADP	0	30	3	0	não estou cansado na realidade estou feliz
realidade	NOUN	0	30	4	0	não estou cansado na realidade estou feliz
estou	AUX	0	30	5	0	não estou cansado na realidade estou feliz
feliz	ADJ	0	30	6	0	não estou cansado na realidade estou feliz
29	['ADV', 'AUX', 'ADJ', 'ADP', 'NOUN', 'AUX', 'ADJ']	[0, 0, 1, 0, 0, 0, 0]	30	29	1	não estou cansado na realidade estou feliz
siri	NOUN	1	31	0	0	siri não estou cansado na realidade estou feliz
não	ADV	0	31	1	0	siri não estou cansado na realidade estou feliz
estou	AUX	0	31	2	0	siri não estou cansado na realidade estou feliz
cansado	ADJ	1	31	3	0	siri não estou cansado na realidade estou feliz
na	ADP	0	31	4	0	siri não estou cansado na realidade estou feliz
realidade	NOUN	0	31	5	0	siri não estou cansado na realidade estou feliz
estou	AUX	0	31	6	0	siri não estou cansado na realidade estou feliz
feliz	ADJ	0	31	7	0	siri não estou cansado na realidade estou feliz
30	['NOUN', 'ADV', 'AUX', 'ADJ', 'ADP', 'NOUN', 'AUX', 'ADJ']	[1, 0, 0, 1, 0, 0, 0, 0]	31	30	1	siri não estou cansado na realidade estou feliz
o	PRON	0	32	0	0	o que se passa
que	PRON	0	32	1	0	o que se passa
se	PRON	0	32	2	0	o que se passa
passa	VERB	0	32	3	0	o que se passa
31	['PRON', 'PRON', 'PRON', 'VERB']	[0, 0, 0, 0]	32	31	1	o que se passa
diz-me	VERB	1	33	0	0	diz-me as horas em lisboa
as	DET	0	33	1	0	diz-me as horas em lisboa
horas	NOUN	0	33	2	0	diz-me as horas em lisboa
em	ADP	0	33	3	0	diz-me as horas em lisboa
lisboa	PROPN	1	33	4	0	diz-me as horas em lisboa
32	['VERB', 'DET', 'NOUN', 'ADP', 'PROPN']	[1, 0, 0, 0, 1]	33	32	1	diz-me as horas em lisboa
diz	VERB	0	34	0	0	diz me as horas em g. m. t. mais cinco
me	PRON	0	34	1	0	diz me as horas em g. m. t. mais cinco
as	DET	0	34	2	0	diz me as horas em g. m. t. mais cinco
horas	NOUN	0	34	3	0	diz me as horas em g. m. t. mais cinco
em	ADP	0	34	4	0	diz me as horas em g. m. t. mais cinco
g.	PROPN	1	34	5	0	diz me as horas em g. m. t. mais cinco
m.	PROPN	1	34	6	0	diz me as horas em g. m. t. mais cinco
t.	VERB	1	34	7	0	diz me as horas em g. m. t. mais cinco
mais	ADV	0	34	8	0	diz me as horas em g. m. t. mais cinco
cinco	NUM	0	34	9	0	diz me as horas em g. m. t. mais cinco
33	['VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'ADV', 'NUM']	[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]	34	33	1	diz me as horas em g. m. t. mais cinco
olly	NOUN	1	35	0	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
mostra	VERB	0	35	1	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
uma	DET	0	35	2	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
lista	NOUN	0	35	3	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
das	ADP	0	35	4	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
opções	NOUN	0	35	5	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
de	ADP	0	35	6	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
entrega	NOUN	0	35	7	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
de	ADP	0	35	8	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
comida	NOUN	0	35	9	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
chinesa	ADJ	0	35	10	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
com	ADP	0	35	11	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
mais	DET	0	35	12	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
avaliações	NOUN	0	35	13	0	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
34	['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	35	34	1	olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
entrega	VERB	0	36	0	0	entrega ao domicílio de comida chinesa com mais avaliações
ao	ADP	0	36	1	0	entrega ao domicílio de comida chinesa com mais avaliações
domicílio	NOUN	1	36	2	0	entrega ao domicílio de comida chinesa com mais avaliações
de	ADP	0	36	3	0	entrega ao domicílio de comida chinesa com mais avaliações
comida	NOUN	0	36	4	0	entrega ao domicílio de comida chinesa com mais avaliações
chinesa	ADJ	0	36	5	0	entrega ao domicílio de comida chinesa com mais avaliações
com	ADP	0	36	6	0	entrega ao domicílio de comida chinesa com mais avaliações
mais	DET	0	36	7	0	entrega ao domicílio de comida chinesa com mais avaliações
avaliações	NOUN	0	36	8	0	entrega ao domicílio de comida chinesa com mais avaliações
35	['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']	[0, 0, 1, 0, 0, 0, 0, 0, 0]	36	35	1	entrega ao domicílio de comida chinesa com mais avaliações
olly	NOUN	1	37	0	0	olly melhores avaliações de entrega para comida chinesa
melhores	ADJ	0	37	1	0	olly melhores avaliações de entrega para comida chinesa
avaliações	NOUN	0	37	2	0	olly melhores avaliações de entrega para comida chinesa
de	ADP	0	37	3	0	olly melhores avaliações de entrega para comida chinesa
entrega	NOUN	0	37	4	0	olly melhores avaliações de entrega para comida chinesa
para	ADP	0	37	5	0	olly melhores avaliações de entrega para comida chinesa
comida	NOUN	0	37	6	0	olly melhores avaliações de entrega para comida chinesa
chinesa	ADJ	0	37	7	0	olly melhores avaliações de entrega para comida chinesa
36	['NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']	[1, 0, 0, 0, 0, 0, 0, 0]	37	36	1	olly melhores avaliações de entrega para comida chinesa
apetece-me	VERB	1	38	0	0	apetece-me caril tens alguma recomendação
caril	NOUN	1	38	1	0	apetece-me caril tens alguma recomendação
tens	VERB	0	38	2	0	apetece-me caril tens alguma recomendação
alguma	DET	0	38	3	0	apetece-me caril tens alguma recomendação
recomendação	NOUN	1	38	4	0	apetece-me caril tens alguma recomendação
37	['VERB', 'NOUN', 'VERB', 'DET', 'NOUN']	[1, 1, 0, 0, 1]	38	37	1	apetece-me caril tens alguma recomendação
quero	VERB	0	39	0	0	quero algum caril para levar alguma recomendação olly
algum	DET	0	39	1	0	quero algum caril para levar alguma recomendação olly
caril	NOUN	1	39	2	0	quero algum caril para levar alguma recomendação olly
para	SCONJ	0	39	3	0	quero algum caril para levar alguma recomendação olly
levar	VERB	0	39	4	0	quero algum caril para levar alguma recomendação olly
alguma	DET	0	39	5	0	quero algum caril para levar alguma recomendação olly
recomendação	NOUN	1	39	6	0	quero algum caril para levar alguma recomendação olly
olly	ADJ	1	39	7	0	quero algum caril para levar alguma recomendação olly
38	['VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADJ']	[0, 0, 1, 0, 0, 0, 1, 1]	39	38	1	quero algum caril para levar alguma recomendação olly
procura	NOUN	0	40	0	0	procura por comida tailandesa com takeaway perto do centro do porto
por	ADP	0	40	1	0	procura por comida tailandesa com takeaway perto do centro do porto
comida	NOUN	0	40	2	0	procura por comida tailandesa com takeaway perto do centro do porto
tailandesa	ADJ	1	40	3	0	procura por comida tailandesa com takeaway perto do centro do porto
com	ADP	0	40	4	0	procura por comida tailandesa com takeaway perto do centro do porto
takeaway	NOUN	1	40	5	0	procura por comida tailandesa com takeaway perto do centro do porto
perto	ADV	0	40	6	0	procura por comida tailandesa com takeaway perto do centro do porto
do	ADP	0	40	7	0	procura por comida tailandesa com takeaway perto do centro do porto
centro	NOUN	0	40	8	0	procura por comida tailandesa com takeaway perto do centro do porto
do	ADP	0	40	9	0	procura por comida tailandesa com takeaway perto do centro do porto
porto	NOUN	0	40	10	0	procura por comida tailandesa com takeaway perto do centro do porto
39	['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN']	[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]	40	39	1	procura por comida tailandesa com takeaway perto do centro do porto
para	ADP	0	41	0	0	para o alarme das sete da manhã
o	DET	0	41	1	0	para o alarme das sete da manhã
alarme	NOUN	1	41	2	0	para o alarme das sete da manhã
das	ADP	0	41	3	0	para o alarme das sete da manhã
sete	NUM	0	41	4	0	para o alarme das sete da manhã
da	ADP	0	41	5	0	para o alarme das sete da manhã
manhã	NOUN	0	41	6	0	para o alarme das sete da manhã
40	['ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NOUN']	[0, 0, 1, 0, 0, 0, 0]	41	40	1	para o alarme das sete da manhã
por	ADP	0	42	0	0	por favor lista os alarmes ativos
favor	NOUN	0	42	1	0	por favor lista os alarmes ativos
lista	VERB	0	42	2	0	por favor lista os alarmes ativos
os	DET	0	42	3	0	por favor lista os alarmes ativos
alarmes	NOUN	1	42	4	0	por favor lista os alarmes ativos
ativos	ADJ	0	42	5	0	por favor lista os alarmes ativos
41	['ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ']	[0, 0, 0, 0, 1, 0]	42	41	1	por favor lista os alarmes ativos
o	PRON	0	43	0	0	o que está a acontecer no futebol hoje
que	PRON	0	43	1	0	o que está a acontecer no futebol hoje
está	VERB	0	43	2	0	o que está a acontecer no futebol hoje
a	SCONJ	0	43	3	0	o que está a acontecer no futebol hoje
acontecer	VERB	0	43	4	0	o que está a acontecer no futebol hoje
no	ADP	0	43	5	0	o que está a acontecer no futebol hoje
futebol	NOUN	0	43	6	0	o que está a acontecer no futebol hoje
hoje	ADV	0	43	7	0	o que está a acontecer no futebol hoje
42	['PRON', 'PRON', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADV']	[0, 0, 0, 0, 0, 0, 0, 0]	43	42	1	o que está a acontecer no futebol hoje
por	ADP	0	44	0	0	por favor põe contentores dos xutos e pontapés
favor	NOUN	0	44	1	0	por favor põe contentores dos xutos e pontapés
põe	VERB	1	44	2	0	por favor põe contentores dos xutos e pontapés
contentores	NOUN	1	44	3	0	por favor põe contentores dos xutos e pontapés
dos	ADP	0	44	4	0	por favor põe contentores dos xutos e pontapés
xutos	NOUN	1	44	5	0	por favor põe contentores dos xutos e pontapés
e	CCONJ	0	44	6	0	por favor põe contentores dos xutos e pontapés
pontapés	NOUN	1	44	7	0	por favor põe contentores dos xutos e pontapés
43	['ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN']	[0, 0, 1, 1, 0, 1, 0, 1]	44	43	1	por favor põe contentores dos xutos e pontapés
gosto	NOUN	0	45	0	0	gosto de música rock
de	ADP	0	45	1	0	gosto de música rock
música	NOUN	0	45	2	0	gosto de música rock
rock	ADJ	0	45	3	0	gosto de música rock
44	['NOUN', 'ADP', 'NOUN', 'ADJ']	[0, 0, 0, 0]	45	44	1	gosto de música rock
minha	DET	0	46	0	0	minha banda de música favorita é queen
banda	NOUN	0	46	1	0	minha banda de música favorita é queen
de	ADP	0	46	2	0	minha banda de música favorita é queen
música	NOUN	0	46	3	0	minha banda de música favorita é queen
favorita	ADJ	0	46	4	0	minha banda de música favorita é queen
é	AUX	0	46	5	0	minha banda de música favorita é queen
queen	X	1	46	6	0	minha banda de música favorita é queen
45	['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'X']	[0, 0, 0, 0, 0, 0, 1]	46	45	1	minha banda de música favorita é queen
começa	VERB	0	47	0	0	começa a tocar música dos meus favoritos
a	SCONJ	0	47	1	0	começa a tocar música dos meus favoritos
tocar	VERB	0	47	2	0	começa a tocar música dos meus favoritos
música	NOUN	0	47	3	0	começa a tocar música dos meus favoritos
dos	ADP	0	47	4	0	começa a tocar música dos meus favoritos
meus	DET	0	47	5	0	começa a tocar música dos meus favoritos
favoritos	NOUN	0	47	6	0	começa a tocar música dos meus favoritos
46	['VERB', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN']	[0, 0, 0, 0, 0, 0, 0]	47	46	1	começa a tocar música dos meus favoritos
por	ADP	0	48	0	0	por favor toca a minha melhor música
favor	NOUN	0	48	1	0	por favor toca a minha melhor música
toca	VERB	0	48	2	0	por favor toca a minha melhor música
a	DET	0	48	3	0	por favor toca a minha melhor música
minha	DET	0	48	4	0	por favor toca a minha melhor música
melhor	ADJ	0	48	5	0	por favor toca a minha melhor música
música	NOUN	0	48	6	0	por favor toca a minha melhor música
